"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"SenGillibrand.2655",2018-03-29 01:35:56,"SenGillibrand","I need Kyrsten fighting alongside me in the Senate for women, for families and for our future. Will you donate to help her win this top-rated race that<U+2019>s key to flipping the Senate for Democrats? https://t.co/CS4kC5f84F","Twitter Web Client",FALSE,FALSE,290,103,NA,NA,"https://twitter.com/SenGillibrand/status/979170258752860160",NA
"SenGillibrand.2656",2018-03-29 01:35:16,"SenGillibrand","I<U+2019>m counting on you to help Kyrsten win. Her story is powerful: As a young girl, she lived in an abandoned gas station. She worked her way through college &amp; into Congress, pushed forward by a determination to help others the way her family was helped in their toughest time.","Twitter Web Client",FALSE,FALSE,395,93,NA,NA,"https://twitter.com/SenGillibrand/status/979170091106492416",NA
"SenGillibrand.2657",2018-03-29 01:34:34,"SenGillibrand","My friend @kyrstensinema is in a must-win race for Arizona<U+2019>s Senate seat. And one of her GOP opponents? Racist, misogynistic former sheriff Joe Arpaio. The last thing we need is men like him making decisions about our future.","Twitter Web Client",FALSE,FALSE,1361,457,NA,NA,"https://twitter.com/SenGillibrand/status/979169916820615169",NA
"SenGillibrand.2658",2018-03-28 17:01:16,"SenGillibrand","#TimesUp Congress. Elected leaders should be held to the highest standards and no longer should taxpayers be on the hook for politicians' harassment scandals. https://t.co/kqrkqYzZuv","Twitter for iPhone",TRUE,FALSE,1358,445,"CNN",NA,"https://twitter.com/SenGillibrand/status/979040737470894082",NA
"SenGillibrand.2659",2018-03-28 15:56:59,"SenGillibrand","Young people across the country have shown real courage by standing up to the NRA. In doing so, they've brought forth a pivotal moment in our fight to end gun violence. It is my sincere hope that my colleagues in Congress can be just as brave.","Twitter for iPhone",FALSE,FALSE,5690,978,NA,NA,"https://twitter.com/SenGillibrand/status/979024559629393921",NA
"SenGillibrand.2660",2018-03-28 14:46:22,"SenGillibrand","Needless to say, we are not in favor of the government's latest attempt to limit the ability of #transgender individuals to serve in the military https://t.co/T52YGn5QIz https://t.co/pICAaQHHQN","Twitter for iPhone",FALSE,TRUE,0,159,NA,"APA","https://twitter.com/SenGillibrand/status/979006790972116994",NA
"SenGillibrand.2661",2018-03-27 22:02:35,"SenGillibrand","Every worker deserves the freedom to join a union! I<U+2019>m so proud to support the @JetBlue inflight crew members and their right to organize as they vote to join @transportworker. 
https://t.co/pT6v9QlnUs","Twitter for iPhone",FALSE,FALSE,575,126,NA,NA,"https://twitter.com/SenGillibrand/status/978754179001929728",NA
"SenGillibrand.2662",2018-03-27 20:12:20,"SenGillibrand","Dolores Huerta built the resistance and blazed a trail for the rights of immigrants, workers and women. We follow her trail when we raise our voices for those who are still not heard in the halls of power. Let<U+2019>s elect more women and keep writing the future Dolores has fought for. https://t.co/wElQ68yng8","Twitter Web Client",FALSE,FALSE,258,90,NA,NA,"https://twitter.com/SenGillibrand/status/978726435811667968",NA
"SenGillibrand.2663",2018-03-27 13:48:14,"SenGillibrand","Congrats to @jmpalmieri for her empowering new book full of important life lessons for our daughters and sons, inside and outside of politics.
https://t.co/MbwhpWkTrb","TweetDeck",FALSE,FALSE,342,77,NA,NA,"https://twitter.com/SenGillibrand/status/978629770568232961",NA
"SenGillibrand.2664",2018-03-26 22:33:02,"SenGillibrand","Any qualified individual who is willing to serve in our military should not be denied that chance because of who they are. End of story. #ProtectTransTroops","Twitter for iPhone",FALSE,FALSE,8974,1755,NA,NA,"https://twitter.com/SenGillibrand/status/978399456625397760",NA
"SenGillibrand.2665",2018-03-26 21:49:30,"SenGillibrand","Register. 
Educate. 
Vote. 
That's what it will take to create real change. Add your name to be a part of what's next: https://t.co/2m7ItdfFjV #MarchForOurLives https://t.co/qhuMZzFPDf","Twitter Web Client",FALSE,TRUE,0,8046,NA,"AMarch4OurLives","https://twitter.com/SenGillibrand/status/978388497374605312",NA
"SenGillibrand.2666",2018-03-26 19:09:25,"SenGillibrand","This weekend, we marched. This November, we vote. You can carry the #MarchForOurLives message to the ballot box in November <U+2013> so get educated now about the issues. Find candidates who<U+2019>ll stand up to the NRA. And take a moment today to register to vote: https://t.co/bpamSCzoTQ","Twitter Web Client",FALSE,FALSE,1338,456,NA,NA,"https://twitter.com/SenGillibrand/status/978348213584453633",NA
"SenGillibrand.2667",2018-03-25 20:50:00,"SenGillibrand","The march may be over, but this movement is not. Keep raising your voices. Call your lawmakers. Educate yourselves even further. Donate to organizations fighting for change. And in November, vote out the members of Congress who won<U+2019>t stand up to the NRA.","Twitter Web Client",FALSE,FALSE,977,175,NA,NA,"https://twitter.com/SenGillibrand/status/978011137030705153",NA
"SenGillibrand.2668",2018-03-25 20:49:40,"SenGillibrand","And to my colleagues in Congress: It is our duty to listen to this next generation of leaders. We cannot let them down. It<U+2019>s time for us to fight, harder than ever, to follow these students<U+2019> demands with real action to pass commonsense gun reforms.","Twitter Web Client",FALSE,FALSE,887,118,NA,NA,"https://twitter.com/SenGillibrand/status/978011052884492288",NA
"SenGillibrand.2669",2018-03-25 20:49:24,"SenGillibrand","Never let anyone silence you. You are a force to be reckoned with. Keep demanding what you know to be right. Keep letting your messages and stories shake the halls of Congress.","Twitter Web Client",FALSE,FALSE,183,38,NA,NA,"https://twitter.com/SenGillibrand/status/978010988950839298",NA
"SenGillibrand.2670",2018-03-25 20:49:06,"SenGillibrand","To those students who raised your voices at the #MarchForOurLives and bravely declared enough is enough: Your activism <U+2013> the conviction and inclusivity of your messages <U+2013> stirred hundreds of thousands across the country to stand up and speak out alongside you for real change.","Twitter Web Client",FALSE,FALSE,1880,299,NA,NA,"https://twitter.com/SenGillibrand/status/978010909808513024",NA
"SenGillibrand.2671",2018-03-25 19:41:31,"SenGillibrand","Yesterday at the #MarchForOurLives, young people organized a movement unlike any other. It was such an honor to meet so many of you. Hearing your stories and seeing your activism made me more hopeful than ever for the future of our country. https://t.co/tUq9bHNXiV","Twitter Web Client",FALSE,FALSE,1257,216,NA,NA,"https://twitter.com/SenGillibrand/status/977993904120320001",NA
