"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"MichaelBennet.27",2019-06-05 18:16:00,"MichaelBennet","So much is at stake in this election<U+2014>health care, climate change, and our economic future. 

It will take all of us to build a broad coalition, fix our broken politics, and make progress on the issues that matter most to American families and workers. That<U+2019>s why I<U+2019>m running. https://t.co/nG4ptJ6rRb","Twitter Media Studio",FALSE,FALSE,47,12,NA,NA,"https://twitter.com/MichaelBennet/status/1136335881047072768",NA
"MichaelBennet.28",2019-06-05 16:06:54,"MichaelBennet","Another day, another broken promise from @POTUS.

New research finds what we knew all along: The Trump tax cuts did little to boost wages, but added trillions to the debt. And who got nearly all the benefit? The wealthiest Americans. 
https://t.co/RyMdBBoLpn","Twitter Web Client",FALSE,FALSE,86,32,NA,NA,"https://twitter.com/MichaelBennet/status/1136303390412148737",NA
"MichaelBennet.29",2019-06-05 13:31:38,"MichaelBennet","Had a great time joining @EzraKlein to discuss #LandOfFlickeringLights, what it will take to restore our democracy, and what we can do to improve education and end child poverty. Take a listen: https://t.co/T9MxsQdFcC","Twitter Web Client",FALSE,FALSE,34,12,NA,NA,"https://twitter.com/MichaelBennet/status/1136264317022736384",NA
"MichaelBennet.30",2019-06-05 01:11:26,"MichaelBennet","Very excited to announce that #LandOfFlickeringLights is out today. 

This isn<U+2019>t a memoir. I couldn<U+2019>t bear to read such a thing, much less expect you to.

It<U+2019>s my diagnosis of what's broken in Washington and how we can come together to fix it. https://t.co/Bqiw2IJTRm","Twitter for iPhone",FALSE,FALSE,117,29,NA,NA,"https://twitter.com/MichaelBennet/status/1136078038691696640",NA
"MichaelBennet.31",2019-06-04 23:59:31,"MichaelBennet","""Our farmers are paying the price for Donald Trump not understanding the most basic thing about economics."" @MichaelBennet on Trump's tariffs. #Hardball https://t.co/5wD77ezfVw","Twitter for iPhone",FALSE,TRUE,0,138,NA,"hardball","https://twitter.com/MichaelBennet/status/1136059941448572937",NA
"MichaelBennet.32",2019-06-04 21:47:34,"MichaelBennet","I will do everything I possibly can do to ensure Roe v. Wade remains the law of the land because health care decisions should be in the hands of women and their families. Period.
https://t.co/DZK5qCqtMO","Twitter Web Client",FALSE,FALSE,170,31,NA,NA,"https://twitter.com/MichaelBennet/status/1136026734124552196",NA
"MichaelBennet.33",2019-06-04 18:08:20,"MichaelBennet","It's June &amp; that means summer reading! Here's my list:

-There Will Be No Miracles Here, by @CaseyGerald
-Frederick Douglass: Prophet of Freedom, by @DavidWBlight
-This America: The Case for the Nation, by Jill Lepore

What's on your summer reading list? #BennetBookshelf https://t.co/hUfUOaGL2O","Twitter Media Studio",FALSE,FALSE,51,8,NA,NA,"https://twitter.com/MichaelBennet/status/1135971563566718977",NA
"MichaelBennet.34",2019-06-04 16:51:52,"MichaelBennet",".@JoeBiden, let<U+2019>s work together to achieve the 2030 conservation target I outlined in my plan. Will you also commit to include a 2030 Challenge for states to tackle climate change even faster?","Twitter Web Client",FALSE,FALSE,72,17,NA,NA,"https://twitter.com/MichaelBennet/status/1135952320401956864",NA
"MichaelBennet.35",2019-06-04 16:30:41,"MichaelBennet","Had a wonderful time meeting folks in South Carolina. Thanks for your ideas, your hospitality -- and your delicious grits! #SCpol #sctweets #sc2020 https://t.co/g2bxDAY12U","Twitter Media Studio",FALSE,FALSE,14,6,NA,NA,"https://twitter.com/MichaelBennet/status/1135946990079152128",NA
"MichaelBennet.36",2019-06-04 16:04:00,"MichaelBennet","Thanks to supporters across America, we<U+2019>re building a movement to boost our economy, fix our broken politics, tackle the climate crisis, reduce child poverty, and achieve universal coverage.

Join us at https://t.co/GskH5AvSDS https://t.co/vIuQ796H17","Twitter Web Client",TRUE,FALSE,67,14,"politico",NA,"https://twitter.com/MichaelBennet/status/1135940271756185601",NA
