"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"ericswalwell.249",2019-05-24 03:17:01,"ericswalwell","I vow to appoint a Supreme Court Judge who will uphold Roe v. Wade.
 
Can you vow to help me? $1 could help save women's constitutional rights <U+0001F449> https://t.co/kUpYe7tSmE https://t.co/MPCRqBuNE9","Sprout Social",FALSE,FALSE,209,57,NA,NA,"https://twitter.com/ericswalwell/status/1131760989098192897",NA
"ericswalwell.250",2019-05-24 01:14:00,"ericswalwell","We stand with you, @McDonalds employees! #FightFor15

https://t.co/bb8l1VQ6F0","Sprout Social",TRUE,FALSE,196,73,"fightfor15",NA,"https://twitter.com/ericswalwell/status/1131730030743232512",NA
"ericswalwell.251",2019-05-23 23:41:29,"ericswalwell","""The American people are about to find out:

1) He's not as wealthy as he says.
2) He's not been honest with the IRS and people he sought loans through...
3) He's not acting on the American people's behalf.""

@ericswalwell on Trump's financial records. #Hardball https://t.co/LTfmPXMq4J","Twitter for iPhone",FALSE,TRUE,0,785,NA,"hardball","https://twitter.com/ericswalwell/status/1131706748274970624",NA
"ericswalwell.252",2019-05-23 22:45:16,"ericswalwell","We will stand with our brothers and sisters in the South to make sure that a woman's choice is always protected. https://t.co/SbRABJtAav","Sprout Social",FALSE,FALSE,526,129,NA,NA,"https://twitter.com/ericswalwell/status/1131692600845582336",NA
"ericswalwell.253",2019-05-23 20:09:10,"ericswalwell","The president is leading this land of lawlessness. 

States like Alabama, Georgia, and Missouri think that they can get away with stripping away women's rights because they know that the Trump administration doesn't respect the law, so why should they? https://t.co/1nKTrm6gVl","Sprout Social",FALSE,FALSE,1029,334,NA,NA,"https://twitter.com/ericswalwell/status/1131653316654641152",NA
"ericswalwell.254",2019-05-23 19:22:52,"ericswalwell","Thank you, @ericswalwell, for speaking out to protect our fundamental right to make decisions about our own bodies! Tuesday's #StopTheBans Day of Action wasn't just a moment <U+2014> it's a movement. <U+0001F4AA> https://t.co/RlJkGWlxsR","Twitter for iPhone",FALSE,TRUE,0,143,NA,"PPact","https://twitter.com/ericswalwell/status/1131641665918328833",NA
"ericswalwell.255",2019-05-23 18:06:07,"ericswalwell","I may not know the details of baking, but I sure as heck know that this president does not care about the rule of law. https://t.co/VAVSFeL9x0","Sprout Social",FALSE,FALSE,538,170,NA,NA,"https://twitter.com/ericswalwell/status/1131622351433547776",NA
"ericswalwell.256",2019-05-23 17:19:30,"ericswalwell","Today, I<U+2019>m standing shoulder to shoulder with @McDonalds workers in the Fight for $15, on strike from coast to coast demanding a union and a workplace free of sexual harassment and assault. #FightFor15 https://t.co/O9PtLOwpn6","Sprout Social",FALSE,FALSE,604,156,NA,NA,"https://twitter.com/ericswalwell/status/1131610619256479746",NA
"ericswalwell.257",2019-05-23 15:45:10,"ericswalwell","Great piece by NH teacher of the year @HeidiCrumrine 

""Some lawmakers think the solution is to arm teachers. This is absurd. The answer to problems with guns is not more guns. There is no research to back up that this approach works."" 

https://t.co/susZle6gEZ","Sprout Social",FALSE,FALSE,99,40,NA,NA,"https://twitter.com/ericswalwell/status/1131586879902617600",NA
"ericswalwell.258",2019-05-23 14:28:47,"ericswalwell","In the last two years,

LAS VEGAS deadliest lone gunman shooting in our history 

PARKLAND deadliest high school shooting in our history

SUTHERLAND SPRINGS deadliest house of worship shooting in our history 

Too many have died.

I love and miss you son. Everyday.

 #NotOneMore. https://t.co/nsSCd718V3","Twitter for iPhone",FALSE,TRUE,0,661,NA,"riromtz","https://twitter.com/ericswalwell/status/1131567654614052864",NA
