"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"TulsiGabbard.2923",2016-11-02 01:24:00,"TulsiGabbard","Burning fossil fuels &amp; vehicle emissions are two leading causes of suffocating air pollution that hurt our children.
https://t.co/7s7DC1jKaO","Sprout Social",FALSE,FALSE,99,78,NA,NA,"https://twitter.com/TulsiGabbard/status/793624670528471041",NA
"TulsiGabbard.2924",2016-11-02 00:43:01,"TulsiGabbard","If you miss the mail ballot deadline (today!) in HI, early walk-in voting &amp; late voter registration for Election Day runs until November 5.","Sprout Social",FALSE,FALSE,79,28,NA,NA,"https://twitter.com/TulsiGabbard/status/793614354251849728",NA
"TulsiGabbard.2925",2016-11-01 23:49:25,"TulsiGabbard","The deadline to request a mail ballot in Hawai<U+02BB>i is today! We need a decisive turnout this election:
https://t.co/3XgUqNFLEf","Sprout Social",FALSE,FALSE,54,32,NA,NA,"https://twitter.com/TulsiGabbard/status/793600866783604736",NA
"TulsiGabbard.2926",2016-11-01 18:07:47,"TulsiGabbard","The Montessori School in #Kihei had a Historical Halloween yesterday. Guess who Makena chose to be? https://t.co/r0yOTfYMN7","Sprout Social",FALSE,FALSE,218,34,NA,NA,"https://twitter.com/TulsiGabbard/status/793514892674277376",NA
"TulsiGabbard.2927",2016-11-01 03:23:01,"TulsiGabbard","Campaign finance reform is one of the most pressing issues of our time <U+2013> especially this year. Read more: https://t.co/PwkJVlI0vp","Sprout Social",FALSE,FALSE,152,48,NA,NA,"https://twitter.com/TulsiGabbard/status/793292231759147008",NA
"TulsiGabbard.2928",2016-11-01 01:12:22,"TulsiGabbard","Ultra-rich executives need to be held criminally accountable for their scams to rip off the American people.","Twitter Web Client",FALSE,FALSE,158,60,NA,NA,"https://twitter.com/TulsiGabbard/status/793259355051220992",NA
"TulsiGabbard.2929",2016-11-01 01:10:01,"TulsiGabbard","The answer is simple: Wells Fargo<U+2019>s culture will not change if insiders are still in charge. We need accountability. https://t.co/hU0DzKtZg3","Sprout Social",FALSE,FALSE,175,87,NA,NA,"https://twitter.com/TulsiGabbard/status/793258760768659456",NA
"TulsiGabbard.2930",2016-10-31 23:18:01,"TulsiGabbard","Earlier this month I had the opportunity to congratulate Pearl Harbor Naval Shipyard<U+2019>s newest journey-workers. 
https://t.co/PK4wubd3gX","Sprout Social",FALSE,FALSE,40,10,NA,NA,"https://twitter.com/TulsiGabbard/status/793230574521417728",NA
"TulsiGabbard.2931",2016-10-31 22:11:01,"TulsiGabbard","Honor, courage, commitment, and aloha should always be at the heart of our behavior and actions.","Sprout Social",FALSE,FALSE,136,58,NA,NA,"https://twitter.com/TulsiGabbard/status/793213713901686784",NA
"TulsiGabbard.2932",2016-10-31 21:00:11,"TulsiGabbard","Mahalo for the kind note, Scott: <U+201C>Had a great time sign waving for Tulsi this afternoon...I feel lucky to be part of your team.<U+201D> https://t.co/6FRq95TJyY","Sprout Social",FALSE,FALSE,193,43,NA,NA,"https://twitter.com/TulsiGabbard/status/793195889783283713",NA
"TulsiGabbard.2933",2016-10-31 20:02:13,"TulsiGabbard","Wishing all of you a very happy Halloween!","Sprout Social",FALSE,FALSE,103,13,NA,NA,"https://twitter.com/TulsiGabbard/status/793181301406785537",NA
"TulsiGabbard.2934",2016-10-31 07:16:16,"TulsiGabbard","Mahalo @HawaiiNewsNow for covering neighbor island news like cause of rapid Ohia death &amp; opening of new Pahoa District Park! #localnews","Twitter for iPhone",FALSE,FALSE,47,11,NA,NA,"https://twitter.com/TulsiGabbard/status/792988544289509377",NA
"TulsiGabbard.2935",2016-10-31 01:22:01,"TulsiGabbard","Food security is a critical issue. I will continue to work to create a more secure, safe &amp; healthy future for our people &amp; our environment.","Sprout Social",FALSE,FALSE,274,76,NA,NA,"https://twitter.com/TulsiGabbard/status/792899392780967937",NA
"TulsiGabbard.2936",2016-10-30 21:46:01,"TulsiGabbard","We can stand up for our planet &amp; encourage living wage jobs by investing in renewable energy. #noDAPL","Sprout Social",FALSE,FALSE,347,215,NA,NA,"https://twitter.com/TulsiGabbard/status/792845034190012416",NA
"TulsiGabbard.2937",2016-10-30 19:12:01,"TulsiGabbard","Can I count on you to stand with our Native American brothers &amp; sisters by adding your name to our #noDAPL petition?
https://t.co/ncyWb8YM1m","Sprout Social",FALSE,FALSE,389,280,NA,NA,"https://twitter.com/TulsiGabbard/status/792806279869702144",NA
"TulsiGabbard.2938",2016-10-30 17:00:08,"TulsiGabbard","AT&amp;T and Time Warner<U+2019>s merger will reduce competition, threaten net neutrality, and risk union jobs and wages.
https://t.co/66j5fHyTWU","Sprout Social",FALSE,FALSE,203,147,NA,NA,"https://twitter.com/TulsiGabbard/status/792773092405673984",NA
"TulsiGabbard.2939",2016-10-30 15:11:01,"TulsiGabbard","Steps we need to take to protect our economy: break up the big banks and reinstate the Glass-Steagall Act.","Sprout Social",FALSE,FALSE,375,174,NA,NA,"https://twitter.com/TulsiGabbard/status/792745629202063361",NA
"TulsiGabbard.2940",2016-10-30 05:38:16,"TulsiGabbard","Lets go 'bows! #Warriors https://t.co/2YrznFc8tM","Twitter for iPhone",TRUE,FALSE,30,5,"StarAdvertiser",NA,"https://twitter.com/TulsiGabbard/status/792601492616155136",NA
"TulsiGabbard.2941",2016-10-30 03:11:01,"TulsiGabbard","Early walk-in voting has started in Hawai<U+02BB>i and runs through Saturday, November 5! 
https://t.co/ygKdVqLRcm","Sprout Social",FALSE,FALSE,77,35,NA,NA,"https://twitter.com/TulsiGabbard/status/792564435629989888",NA
"TulsiGabbard.2942",2016-10-30 00:54:04,"TulsiGabbard","As we light lamps on Diwali, let us celebrate and reflect on the deeper meaning of this day. https://t.co/0ax5qWYf8U","Sprout Social",FALSE,FALSE,555,299,NA,NA,"https://twitter.com/TulsiGabbard/status/792529972271296512",NA
