"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"BilldeBlasio.616",2017-09-15 20:32:52,"BilldeBlasio","A millionaires<U+2019> tax would provide 800,000 low-income New Yorkers with a 50% fare decrease. Everyone deserves world-class transit.","Sprout Social",FALSE,FALSE,118,31,NA,NA,"https://twitter.com/BilldeBlasio/status/908790742759374848",NA
"BilldeBlasio.617",2017-09-15 19:27:28,"BilldeBlasio","Time isn<U+2019>t on our side. That<U+2019>s why NYC is stepping up to ensure 14,500 least efficient buildings dramatically cut greenhouse gas emissions.","Sprout Social",FALSE,FALSE,24,7,NA,NA,"https://twitter.com/BilldeBlasio/status/908774284021125120",NA
"BilldeBlasio.618",2017-09-15 18:23:36,"BilldeBlasio","It is impossible to ignore the opioid crisis killing New Yorkers all over the city. HealingNYC will help.
https://t.co/SeB6GSyBwL","Sprout Social",FALSE,FALSE,17,11,NA,NA,"https://twitter.com/BilldeBlasio/status/908758212836495360",NA
"BilldeBlasio.619",2017-09-15 16:18:04,"BilldeBlasio","#NYPD closely monitoring incident on London subway moments ago. No direct threats to #NYC, but always remain vigilant/aware of surroundings. https://t.co/xH72sHvgo9","Sprout Social",FALSE,TRUE,0,254,NA,"NYPDONeill","https://twitter.com/BilldeBlasio/status/908726623121428480",NA
"BilldeBlasio.620",2017-09-14 22:23:09,"BilldeBlasio","NYC can't wait for @realDonaldTrump to pull his head out of the sand. We will tackle climate change now.  
https://t.co/2mSjoNLbcl","Sprout Social",FALSE,FALSE,59,16,NA,NA,"https://twitter.com/BilldeBlasio/status/908456109630984192",NA
"BilldeBlasio.621",2017-09-14 21:18:09,"BilldeBlasio","Last week was the beginning of a new era, with the first classrooms of 3-K free early childhood education that will expand across the city.","Sprout Social",FALSE,FALSE,50,6,NA,NA,"https://twitter.com/BilldeBlasio/status/908439751375671297",NA
"BilldeBlasio.622",2017-09-14 19:32:20,"BilldeBlasio","In our city, we respect everyone. Documentation status will never be asked by our police, educators, or by public hospital workers.","Sprout Social",FALSE,FALSE,139,50,NA,NA,"https://twitter.com/BilldeBlasio/status/908413123828305920",NA
"BilldeBlasio.623",2017-09-14 17:14:19,"BilldeBlasio","All the people who knocked on doors, made phone calls, and had a house party made a real difference on Tuesday. https://t.co/rDR9Z0gzKH","Sprout Social",FALSE,FALSE,38,15,NA,NA,"https://twitter.com/BilldeBlasio/status/908378388997578752",NA
"BilldeBlasio.624",2017-09-14 00:00:13,"BilldeBlasio","We cannot accept the status quo. I've seen the ways that we need to still build a fairer city and I'm not going to stop until that<U+2019>s done. https://t.co/R9sykDw0M3","Sprout Social",FALSE,FALSE,27,10,NA,NA,"https://twitter.com/BilldeBlasio/status/908118147584155649",NA
"BilldeBlasio.625",2017-09-13 22:50:03,"BilldeBlasio","My optimism about the future of the city has grown because I<U+2019>ve seen what<U+2019>s possible. Help us make this #YOURCity:  https://t.co/yH3nIh7hJG","Sprout Social",FALSE,FALSE,23,8,NA,NA,"https://twitter.com/BilldeBlasio/status/908100490747154432",NA
"BilldeBlasio.626",2017-09-13 21:17:15,"BilldeBlasio","Yesterday proved that New Yorkers want to make our city more fair and affordable for everyone. 
https://t.co/nQz7pCkJUs","Sprout Social",FALSE,FALSE,54,13,NA,NA,"https://twitter.com/BilldeBlasio/status/908077135931346944",NA
"BilldeBlasio.627",2017-09-13 02:47:48,"BilldeBlasio","We have a lot more left to do. Tomorrow we get back to work. Thank you. #YOURCity https://t.co/M1BhY6PgFG","Twitter Web Client",FALSE,FALSE,64,28,NA,NA,"https://twitter.com/BilldeBlasio/status/907797934678446082",NA
"BilldeBlasio.628",2017-09-13 02:40:36,"BilldeBlasio","This is your city, take it into your hands and shape your future. Change happens because of all of you. #YOURCity","Twitter Web Client",FALSE,FALSE,36,12,NA,NA,"https://twitter.com/BilldeBlasio/status/907796122239991808",NA
"BilldeBlasio.629",2017-09-13 02:39:29,"BilldeBlasio","Safety and fairness walk hand-in-hand in New York City. #YOURCity","Twitter Web Client",FALSE,FALSE,19,7,NA,NA,"https://twitter.com/BilldeBlasio/status/907795843654266880",NA
